candidate;party;votes;percent;year;city;runoff;support;job;year_birth;born_city;;incumbent;male;mig_background;population;pop_density;area_industry_pc;area_agricul_pc;area_forest_pc;male;female;unter 15;15-18;18-25;25-40;40-65;65 u.mehr;workers_agricul;workers_manu;workers_service;unemployed;health_care_receivers;asylum_claims;kom_wahl_cdu;kom_wahl_spd;kom_wahl_grüne;kom_wahl_fdp;kom_wahl_afd;kom_wahl_linke;btw_erststimme_pc;disp_income;investment_p_worker;numb_new_flat_allowed;new_flat_sqm_allowed;visits_total;visits_foreigner;feinstaub;rile;lastname_background_density;umfrage
Bettina Wilhelm;SPD;29177;15,10;2012;Stuttgart;0;SPD;Bürgermeisterin;1964;1;Stuttgart;0;0;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;19,8;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;-24;Germany;0,21
Hannes Rockenbauch;LINKE;20155;10,40;2012;Stuttgart;0;Linke, SöS;Ingenieur;1980;1;Stuttgart;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;7,8;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;-35;Germany;0,13
Jens Loewe;;2060;1,10;2012;Stuttgart;0;;Künstler;1958 ;0;Bochum;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;0,00
Harald Hermann;Piraten;877;0,50;2012;Stuttgart;0;Piraten;EDV-Techniker;1959;1;Stuttgart;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;2,2;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;-13;Germany;0,00
Dr. Ralph Schertlen;;823;0,40;2012;Stuttgart;0;;Elektroingenieur ;1969;0;.;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;0,00
Ulrich Weiler;;764;0,40;2012;Stuttgart;0;;Mathematiker;1955;0;.;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Luxembourg;0,00
Stephan Ossenkopp;BüSo;443;0,20;2012;Stuttgart;0;BüSo;Journalist;1972;0;.;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0,1;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;0,00
Wolfram Bernhardt;;430;0,20;2012;Stuttgart;0;;Journalist;1983;1;Stuttgart;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Liechtenstein;0,00
Selma Kruppschke;;440;0,20;2012;Stuttgart;0;;Travestiekünstler ;1964;0;Esslingen;0;0;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;0,00
Wolfgang Schmid;;430;0,20;2012;Stuttgart;0;;;;;;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Switzerland;0,00
