,index,city,party_FDP_gn,seats_FDP_gn,seats_total,party_FDP_bn,seats_FDP_bn,party_CDU_gn,seats_CDU_gn,party_CDU_bn,seats_CDU_bn,party_SPD_gn,seats_SPD_gn,party_SPD_bn,seats_SPD_bn,party_Grüne_gn,seats_Grüne_gn,party_Grüne_bn,seats_Grüne_bn,party_AfD_gn,seats_AfD_gn,party_AfD_bn,seats_AfD_bn,party_Die Linke_gn,seats_Die Linke_gn,party_Die Linke_bn,seats_Die Linke_bn
995,9,Herborn,AfD,1,37,CDU,4,CDU,6,Grüne,3,Grüne,2,Grüne,3,AfD,1,Grüne,2,Grüne,2,CDU,4,AfD,1,AfD,1
996,10,Herborn,FDP,2,37,SPD,3,AfD,1,SPD,3,AfD,1,SPD,1,SPD,2,CDU,4,CDU,4,SPD,3,CDU,4,CDU,4
997,11,Herborn,CDU,4,37,Grüne,3,CDU,7,CDU,3,CDU,4,CDU,5,Grüne,4,SPD,3,SPD,3,Grüne,3,SPD,3,SPD,3
998,12,Herborn,SPD,3,37,CDU,5,FDP,1,FDP,2,SPD,4,Grüne,4,CDU,4,FW,2,AfD,2,CDU,5,Grüne,3,Grüne,3
999,13,Herborn,Grüne,3,37,FW,2,SPD,2,FW,2,CDU,5,FW,2,Grüne,5,CDU,5,Grüne,3,FW,2,CDU,5,CDU,5
1000,14,Herborn,FW,2,37,SPD,4,CDU,8,AfD,2,FW,2,FDP,2,FW,2,FDP,2,FW,2,FDP,2,FW,2,FW,2
1001,15,Herborn,CDU,5,37,CDU,6,Grüne,3,Grüne,4,Grüne,3,CDU,6,CDU,5,SPD,4,CDU,5,CDU,6,FDP,2,FDP,2
1002,16,Herborn,FDP,3,37,AfD,2,FW,2,SPD,4,SPD,5,AfD,2,SPD,3,Grüne,3,FDP,2,SPD,4,CDU,6,CDU,6
1003,17,Herborn,SPD,4,37,Grüne,4,CDU,9,CDU,4,FDP,2,Grüne,5,FDP,2,CDU,6,SPD,4,Grüne,4,SPD,4,SPD,4
1004,18,Herborn,CDU,6,37,SPD,5,CDU,10,Grüne,5,CDU,6,CDU,7,Grüne,6,AfD,2,CDU,6,CDU,7,Grüne,4,Grüne,4
1005,19,Herborn,Grüne,4,37,CDU,7,SPD,3,SPD,5,SPD,6,CDU,8,CDU,6,CDU,7,Grüne,4,SPD,5,CDU,7,CDU,7
1006,20,Herborn,AfD,2,37,Grüne,5,CDU,11,FDP,3,Grüne,4,Grüne,6,Grüne,7,FW,3,AfD,3,FW,3,AfD,2,AfD,2
1007,21,Herborn,CDU,7,37,FW,3,Grüne,4,FW,3,CDU,7,FW,3,AfD,2,SPD,5,CDU,7,CDU,8,SPD,5,SPD,5
1008,22,Herborn,FDP,4,37,CDU,8,CDU,12,CDU,5,AfD,2,FDP,3,SPD,4,Grüne,4,FW,3,Grüne,5,FW,3,FW,3
1009,23,Herborn,FW,3,37,SPD,6,AfD,2,AfD,3,FW,3,SPD,2,CDU,7,CDU,8,SPD,5,AfD,1,CDU,8,CDU,8
1010,24,Herborn,SPD,5,37,CDU,9,CDU,13,Grüne,6,SPD,7,CDU,9,FW,3,FDP,3,Grüne,5,FDP,3,Grüne,5,Grüne,5
1011,25,Herborn,Grüne,5,37,AfD,3,FW,3,SPD,6,CDU,8,Grüne,7,Grüne,8,SPD,6,CDU,8,CDU,9,FDP,3,FDP,3
1012,26,Herborn,CDU,8,37,Grüne,6,CDU,14,CDU,6,FDP,3,AfD,3,CDU,8,CDU,9,FDP,3,SPD,6,CDU,9,CDU,9
1013,27,Herborn,FDP,5,37,SPD,7,FDP,2,Grüne,7,Grüne,5,CDU,10,FDP,3,FW,4,SPD,6,Grüne,6,SPD,6,SPD,6
1014,28,Herborn,SPD,6,37,CDU,10,Grüne,5,FDP,4,SPD,8,Grüne,8,Grüne,9,Grüne,5,AfD,4,CDU,10,Grüne,6,Grüne,6
1015,29,Herborn,CDU,9,37,FW,4,SPD,4,SPD,7,CDU,9,CDU,11,SPD,5,CDU,10,CDU,9,FW,4,CDU,10,CDU,10
1016,30,Herborn,Grüne,6,37,Grüne,7,CDU,15,FW,4,SPD,9,FW,4,CDU,9,AfD,3,Grüne,6,SPD,7,FW,4,FW,4
1017,31,Herborn,FW,4,37,CDU,11,CDU,16,AfD,4,CDU,10,FDP,4,Grüne,10,SPD,7,FW,4,CDU,11,SPD,7,SPD,7
1018,32,Herborn,CDU,10,37,SPD,8,CDU,17,Grüne,8,FW,4,CDU,12,FW,4,FDP,4,CDU,10,Grüne,7,AfD,3,AfD,3
1019,33,Herborn,AfD,3,37,CDU,12,Grüne,6,CDU,7,Grüne,6,Grüne,9,AfD,3,CDU,11,SPD,7,FDP,4,CDU,11,CDU,11
1020,34,Herborn,SPD,7,37,AfD,4,FW,4,SPD,8,SPD,10,CDU,13,CDU,10,SPD,8,Grüne,7,CDU,12,Grüne,7,Grüne,7
1021,35,Herborn,FDP,6,37,SPD,9,CDU,18,Grüne,9,AfD,3,SPD,3,Grüne,11,Grüne,6,CDU,11,SPD,8,FDP,4,FDP,4
1022,36,Herborn,Grüne,7,37,Grüne,8,SPD,5,FDP,5,CDU,11,AfD,4,SPD,6,FW,5,AfD,5,CDU,13,CDU,12,CDU,12
1023,0,Heusenstamm,CDU,1,37,CDU,1,CDU,1,Grüne,1,CDU,1,CDU,1,Grüne,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
1024,1,Heusenstamm,SPD,1,37,SPD,1,CDU,2,SPD,1,SPD,1,Grüne,1,CDU,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
1025,2,Heusenstamm,Grüne,1,37,Grüne,1,SPD,1,AfD,1,Grüne,1,CDU,2,SPD,1,CDU,2,Grüne,1,Grüne,1,Grüne,1,Grüne,1
1026,3,Heusenstamm,CDU,2,37,CDU,2,Grüne,1,FDP,1,CDU,2,Grüne,2,Grüne,2,Grüne,1,CDU,2,CDU,2,CDU,2,CDU,2
1027,4,Heusenstamm,FDP,1,37,AfD,1,CDU,3,Grüne,2,SPD,2,CDU,3,CDU,2,FDP,1,AfD,1,CDU,3,CDU,3,CDU,3
1028,5,Heusenstamm,CDU,3,37,SPD,2,CDU,4,CDU,1,CDU,3,FDP,1,FDP,1,CDU,3,CDU,3,FDP,1,FDP,1,FDP,1
1029,6,Heusenstamm,AfD,1,37,CDU,3,AfD,1,SPD,2,FDP,1,AfD,1,Grüne,3,Volt,1,FDP,1,SPD,2,SPD,2,SPD,2
1030,7,Heusenstamm,Volt,1,37,Volt,1,Volt,1,Volt,1,Volt,1,Volt,1,CDU,3,AfD,1,SPD,2,Volt,1,AfD,1,AfD,1
1031,8,Heusenstamm,SPD,2,37,Grüne,2,FDP,1,FW,1,SPD,3,FW,1,AfD,1,SPD,2,Volt,1,FW,1,Volt,1,Volt,1
1032,9,Heusenstamm,FW,1,37,FW,1,FW,1,Grüne,3,AfD,1,CDU,4,Volt,1,FW,1,FW,1,Grüne,2,FW,1,FW,1
1033,10,Heusenstamm,Grüne,2,37,CDU,4,SPD,2,AfD,2,FW,1,Grüne,3,FW,1,CDU,4,Grüne,2,CDU,4,Grüne,2,Grüne,2
1034,11,Heusenstamm,CDU,4,37,SPD,3,Grüne,2,SPD,3,Grüne,2,CDU,5,SPD,2,Grüne,2,CDU,4,SPD,3,CDU,4,CDU,4
1035,12,Heusenstamm,FDP,2,37,CDU,5,CDU,5,FDP,2,CDU,4,Grüne,4,Grüne,4,SPD,3,SPD,3,CDU,5,SPD,3,SPD,3
1036,13,Heusenstamm,SPD,3,37,Grüne,3,CDU,6,Grüne,4,SPD,4,CDU,6,CDU,4,CDU,5,CDU,5,Grüne,3,CDU,5,CDU,5
1037,14,Heusenstamm,CDU,5,37,AfD,2,SPD,3,CDU,2,CDU,5,FDP,2,Grüne,5,FDP,2,AfD,2,CDU,6,Grüne,3,Grüne,3
1038,15,Heusenstamm,Grüne,3,37,SPD,4,CDU,7,SPD,4,SPD,5,AfD,2,CDU,5,CDU,6,Grüne,3,FDP,2,CDU,6,CDU,6
1039,16,Heusenstamm,CDU,6,37,CDU,6,Grüne,3,AfD,3,Grüne,3,CDU,7,SPD,3,Volt,2,CDU,6,SPD,4,FDP,2,FDP,2
1040,17,Heusenstamm,FDP,3,37,Volt,2,CDU,8,Volt,2,CDU,6,Volt,2,FDP,2,AfD,2,FDP,2,Volt,2,SPD,4,SPD,4
1041,18,Heusenstamm,AfD,2,37,CDU,7,AfD,2,Grüne,5,FDP,2,Grüne,5,Grüne,6,SPD,4,SPD,4,CDU,7,AfD,2,AfD,2
1042,19,Heusenstamm,Volt,2,37,Grüne,4,Volt,2,FDP,3,Volt,2,FW,2,CDU,6,FW,2,Volt,2,FW,2,Volt,2,Volt,2
1043,20,Heusenstamm,SPD,4,37,FW,2,FDP,2,FW,2,SPD,6,CDU,8,AfD,2,Grüne,3,FW,2,Grüne,4,CDU,7,CDU,7
1044,21,Heusenstamm,FW,2,37,SPD,5,FW,2,SPD,5,AfD,2,Grüne,6,Volt,2,CDU,7,CDU,7,CDU,8,FW,2,FW,2
1045,22,Heusenstamm,CDU,7,37,CDU,8,CDU,9,Grüne,6,FW,2,SPD,1,FW,2,SPD,5,Grüne,4,SPD,5,Grüne,4,Grüne,4
1046,23,Heusenstamm,Grüne,4,37,AfD,3,SPD,4,AfD,4,CDU,7,CDU,9,Grüne,7,CDU,8,AfD,3,CDU,9,CDU,8,CDU,8
1047,24,Heusenstamm,CDU,8,37,Grüne,5,Grüne,4,CDU,3,SPD,7,FDP,3,CDU,7,FDP,3,CDU,8,Grüne,5,SPD,5,SPD,5
1048,25,Heusenstamm,SPD,5,37,SPD,6,CDU,10,SPD,6,Grüne,4,AfD,3,SPD,4,CDU,9,SPD,5,FDP,3,CDU,9,CDU,9
1049,26,Heusenstamm,FDP,4,37,CDU,9,CDU,11,FDP,4,CDU,8,CDU,10,Grüne,8,Grüne,4,Grüne,5,SPD,6,Grüne,5,Grüne,5
1050,27,Heusenstamm,Grüne,5,37,CDU,10,SPD,5,Grüne,7,SPD,8,Grüne,7,CDU,8,Volt,3,CDU,9,CDU,10,FDP,3,FDP,3
1051,28,Heusenstamm,CDU,9,37,SPD,7,Grüne,5,Volt,3,CDU,9,Volt,3,FDP,3,AfD,3,FDP,3,Volt,3,SPD,6,SPD,6
1052,29,Heusenstamm,AfD,3,37,Volt,3,CDU,12,FW,3,FDP,3,CDU,11,Grüne,9,SPD,6,SPD,6,FW,3,CDU,10,CDU,10
1053,30,Heusenstamm,Volt,3,37,Grüne,6,AfD,3,SPD,7,Volt,3,FW,3,CDU,9,FW,3,Volt,3,CDU,11,AfD,3,AfD,3
1054,31,Heusenstamm,SPD,6,37,FW,3,Volt,3,AfD,5,SPD,9,Grüne,8,AfD,3,CDU,10,CDU,10,Grüne,6,Volt,3,Volt,3
1055,32,Heusenstamm,CDU,10,37,CDU,11,CDU,13,Grüne,8,AfD,3,CDU,12,Volt,3,CDU,11,AfD,4,SPD,7,FW,3,FW,3
1056,33,Heusenstamm,FW,3,37,AfD,4,FDP,3,FDP,5,Grüne,5,FDP,4,SPD,5,SPD,7,FW,3,CDU,12,Grüne,6,Grüne,6
1057,34,Heusenstamm,FDP,5,37,SPD,8,FW,3,CDU,4,CDU,10,AfD,4,FW,3,FDP,4,Grüne,6,FDP,4,CDU,11,CDU,11
1058,35,Heusenstamm,Grüne,6,37,CDU,12,SPD,6,SPD,8,FW,3,CDU,13,Grüne,10,Grüne,5,CDU,11,AfD,1,SPD,7,SPD,7
1059,36,Heusenstamm,CDU,11,37,Grüne,7,CDU,14,Grüne,9,CDU,11,Grüne,9,CDU,10,CDU,12,SPD,7,Grüne,7,CDU,12,CDU,12
1060,0,Hofheim am Taunus,CDU,1,45,CDU,1,CDU,1,Grüne,1,SPD,1,CDU,1,Grüne,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
1061,1,Hofheim am Taunus,Grüne,1,45,Grüne,1,CDU,2,SPD,1,CDU,1,Grüne,1,CDU,1,SPD,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1
1062,2,Hofheim am Taunus,SPD,1,45,SPD,1,Grüne,1,FW,1,Grüne,1,CDU,2,Grüne,2,Grüne,1,SPD,1,SPD,1,SPD,1,SPD,1
1063,3,Hofheim am Taunus,FW,1,45,FW,1,CDU,3,Grüne,2,FW,1,FW,1,FW,1,FW,1,FW,1,FW,1,FW,1,FW,1
1064,4,Hofheim am Taunus,FDP,1,45,CDU,2,FW,1,CDU,1,SPD,2,Grüne,2,SPD,1,CDU,2,CDU,2,CDU,2,CDU,2,CDU,2
1065,5,Hofheim am Taunus,CDU,2,45,Grüne,2,SPD,1,FDP,1,CDU,2,FDP,1,Grüne,3,FDP,1,Grüne,2,Grüne,2,Die Linke,1,Grüne,2
1066,6,Hofheim am Taunus,Grüne,2,45,SPD,2,CDU,4,SPD,2,Grüne,2,CDU,3,CDU,2,Bürger für Hofheim,1,CDU,3,CDU,3,Grüne,2,CDU,3
1067,7,Hofheim am Taunus,CDU,3,45,CDU,3,Grüne,2,Grüne,3,SPD,3,Die Linke,1,Grüne,4,SPD,2,FDP,1,FDP,1,CDU,3,FDP,1
1068,8,Hofheim am Taunus,SPD,2,45,Die Linke,1,CDU,5,Die Linke,1,FDP,1,Grüne,3,FDP,1,CDU,3,SPD,2,SPD,2,FDP,1,SPD,2
1069,9,Hofheim am Taunus,Die Linke,1,45,Bürger für Hofheim,1,Bürger für Hofheim,1,Bürger für Hofheim,1,CDU,3,Bürger für Hofheim,1,Bürger für Hofheim,1,Grüne,2,Die Linke,1,Die Linke,1,SPD,2,Bürger für Hofheim,1
1070,10,Hofheim am Taunus,Bürger für Hofheim,1,45,Grüne,3,Die Linke,1,FW,2,Die Linke,1,CDU,4,CDU,3,Die Linke,1,Bürger für Hofheim,1,Bürger für Hofheim,1,Bürger für Hofheim,1,FW,2
1071,11,Hofheim am Taunus,Grüne,3,45,FW,2,CDU,6,Grüne,4,Bürger für Hofheim,1,FW,2,Die Linke,1,FW,2,Grüne,3,Grüne,3,FW,2,Grüne,3
1072,12,Hofheim am Taunus,FW,2,45,CDU,4,FW,2,SPD,3,FW,2,Grüne,4,Grüne,5,CDU,4,FW,2,FW,2,Grüne,3,CDU,4
1073,13,Hofheim am Taunus,FDP,2,45,SPD,3,Grüne,3,CDU,2,SPD,4,CDU,5,FW,2,SPD,3,CDU,4,CDU,4,CDU,4,SPD,3
1074,14,Hofheim am Taunus,CDU,4,45,Grüne,4,CDU,7,FDP,2,Grüne,3,Grüne,5,SPD,2,Grüne,3,SPD,3,SPD,3,Die Linke,2,CDU,5
1075,15,Hofheim am Taunus,SPD,3,45,CDU,5,FDP,1,Grüne,5,CDU,4,FDP,2,Grüne,6,FW,3,Grüne,4,Grüne,4,Grüne,4,Grüne,4
1076,16,Hofheim am Taunus,Grüne,4,45,SPD,4,SPD,2,FW,3,SPD,5,CDU,6,CDU,4,CDU,5,CDU,5,CDU,5,SPD,3,FW,3
1077,17,Hofheim am Taunus,CDU,5,45,FW,3,CDU,8,SPD,4,CDU,5,FW,3,Grüne,7,FDP,2,FW,3,FW,3,CDU,5,CDU,6
1078,18,Hofheim am Taunus,FW,3,45,Grüne,5,Grüne,4,Grüne,6,Grüne,4,Die Linke,2,FW,3,Bürger für Hofheim,2,CDU,6,CDU,6,FW,3,FDP,2
1079,19,Hofheim am Taunus,FDP,3,45,CDU,6,CDU,9,Die Linke,2,FW,3,Grüne,6,CDU,5,SPD,4,Grüne,5,Grüne,5,CDU,6,SPD,4
1080,20,Hofheim am Taunus,Grüne,5,45,Die Linke,2,FW,3,Bürger für Hofheim,2,SPD,6,CDU,7,Grüne,8,CDU,6,FDP,2,FDP,2,FDP,2,Grüne,5
1081,21,Hofheim am Taunus,CDU,6,45,Bürger für Hofheim,2,CDU,10,CDU,3,FDP,2,Bürger für Hofheim,2,FDP,2,Grüne,4,SPD,4,SPD,4,Grüne,5,Bürger für Hofheim,2
1082,22,Hofheim am Taunus,SPD,4,45,SPD,5,Grüne,5,Grüne,7,CDU,6,Grüne,7,SPD,3,Die Linke,2,Die Linke,2,Die Linke,2,Die Linke,3,CDU,7
1083,23,Hofheim am Taunus,Die Linke,2,45,CDU,7,SPD,3,FDP,3,Die Linke,2,CDU,8,Grüne,9,FW,4,Bürger für Hofheim,2,Bürger für Hofheim,2,SPD,4,FW,4
1084,24,Hofheim am Taunus,Bürger für Hofheim,2,45,Grüne,6,CDU,11,SPD,5,Bürger für Hofheim,2,FW,4,Bürger für Hofheim,2,CDU,7,CDU,7,CDU,7,Bürger für Hofheim,2,Grüne,6
1085,25,Hofheim am Taunus,Grüne,6,45,FW,4,Bürger für Hofheim,2,FW,4,Grüne,5,Grüne,8,CDU,6,SPD,5,Grüne,6,Grüne,6,CDU,7,SPD,5
1086,26,Hofheim am Taunus,FW,4,45,CDU,8,Die Linke,2,Grüne,8,SPD,7,FDP,3,Die Linke,2,Grüne,5,FW,4,FW,4,FW,4,CDU,8
1087,27,Hofheim am Taunus,CDU,7,45,Grüne,7,CDU,12,SPD,6,CDU,7,CDU,9,Grüne,10,FW,5,SPD,5,SPD,5,Grüne,6,CDU,9
1088,28,Hofheim am Taunus,FDP,4,45,SPD,6,FW,4,Grüne,9,FW,4,Die Linke,3,FW,4,FDP,3,CDU,8,CDU,8,CDU,8,Grüne,7
1089,29,Hofheim am Taunus,SPD,5,45,CDU,9,Grüne,6,FW,5,SPD,8,Grüne,9,CDU,7,CDU,8,Grüne,7,Grüne,7,SPD,5,FDP,3
1090,30,Hofheim am Taunus,Grüne,7,45,Grüne,8,CDU,13,CDU,4,Grüne,6,CDU,10,Grüne,11,Bürger für Hofheim,3,CDU,9,CDU,9,Die Linke,4,FW,5
1091,31,Hofheim am Taunus,CDU,8,45,FW,5,CDU,14,Die Linke,3,CDU,8,FW,5,SPD,4,SPD,6,FDP,3,FDP,3,Grüne,7,SPD,6
1092,32,Hofheim am Taunus,FW,5,45,SPD,7,FDP,2,FDP,4,SPD,9,Grüne,10,Grüne,12,CDU,9,SPD,6,SPD,6,CDU,9,Bürger für Hofheim,3
1093,33,Hofheim am Taunus,CDU,9,45,Die Linke,3,SPD,4,Bürger für Hofheim,3,FDP,3,Bürger für Hofheim,3,CDU,8,Grüne,6,FW,5,FW,5,FDP,3,CDU,10
1094,34,Hofheim am Taunus,SPD,6,45,CDU,10,Grüne,7,Grüne,10,FW,5,CDU,11,FW,5,Die Linke,3,Grüne,8,Grüne,8,FW,5,Grüne,8
1095,35,Hofheim am Taunus,Grüne,8,45,Bürger für Hofheim,3,CDU,15,SPD,7,Grüne,7,Grüne,11,FDP,3,FW,6,Die Linke,3,Die Linke,3,Grüne,8,CDU,11
1096,36,Hofheim am Taunus,FDP,5,45,Grüne,9,FW,5,FW,6,CDU,9,FDP,4,Grüne,13,CDU,10,CDU,10,CDU,10,SPD,6,FW,6
1097,37,Hofheim am Taunus,Die Linke,3,45,SPD,8,CDU,16,Grüne,11,SPD,10,CDU,12,Bürger für Hofheim,3,SPD,7,Bürger für Hofheim,3,Bürger für Hofheim,3,Bürger für Hofheim,3,SPD,7
1098,38,Hofheim am Taunus,Bürger für Hofheim,3,45,CDU,11,Grüne,8,CDU,5,Die Linke,3,FW,6,Grüne,14,Grüne,7,Grüne,9,Grüne,9,CDU,10,Grüne,9
1099,39,Hofheim am Taunus,CDU,10,45,FW,6,Bürger für Hofheim,3,SPD,8,Bürger für Hofheim,3,Die Linke,4,CDU,9,FDP,4,SPD,7,SPD,7,Die Linke,5,CDU,12
1100,40,Hofheim am Taunus,Grüne,9,45,Grüne,10,Die Linke,3,FDP,5,CDU,10,Grüne,12,Die Linke,3,FW,7,CDU,11,CDU,11,CDU,11,FDP,4
1101,41,Hofheim am Taunus,FW,6,45,CDU,12,CDU,17,Grüne,12,Grüne,8,CDU,13,SPD,5,CDU,11,FW,6,FW,6,FW,6,SPD,8
1102,42,Hofheim am Taunus,SPD,7,45,SPD,9,SPD,5,Die Linke,4,SPD,11,Grüne,13,Grüne,15,Bürger für Hofheim,4,CDU,12,CDU,12,Grüne,9,Grüne,10
1103,43,Hofheim am Taunus,CDU,11,45,Grüne,11,CDU,18,FW,7,FW,6,CDU,14,FW,6,SPD,8,Grüne,10,Grüne,10,SPD,7,FW,7
1104,44,Hofheim am Taunus,FDP,6,45,CDU,13,FW,6,SPD,9,CDU,11,FW,7,CDU,10,CDU,12,FDP,4,FDP,4,CDU,12,CDU,13
1105,0,Idstein,CDU,1,37,CDU,1,CDU,1,SPD,1,SPD,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
1106,1,Idstein,SPD,1,37,SPD,1,CDU,2,Grüne,1,CDU,1,Grüne,1,Grüne,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
1107,2,Idstein,Grüne,1,37,Grüne,1,CDU,3,CDU,1,SPD,2,CDU,2,SPD,1,CDU,2,Grüne,1,Grüne,1,Grüne,1,Grüne,1
1108,3,Idstein,CDU,2,37,CDU,2,SPD,1,SPD,2,CDU,2,CDU,3,CDU,2,Grüne,1,CDU,2,CDU,2,CDU,2,CDU,2
1109,4,Idstein,SPD,2,37,SPD,2,Grüne,1,Grüne,2,Grüne,1,Grüne,2,Grüne,2,SPD,2,SPD,2,SPD,2,SPD,2,SPD,2
1110,5,Idstein,CDU,3,37,CDU,3,CDU,4,FW,1,SPD,3,FW,1,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3
1111,6,Idstein,FW,1,37,FW,1,CDU,5,CDU,2,CDU,3,CDU,4,SPD,2,FW,1,FW,1,FW,1,FW,1,FW,1
1112,7,Idstein,FDP,1,37,Grüne,2,FW,1,FDP,1,FW,1,Grüne,3,FW,1,CDU,4,Grüne,2,Grüne,2,Grüne,2,Grüne,2
1113,8,Idstein,Grüne,2,37,SPD,3,CDU,6,SPD,3,SPD,4,FDP,1,Grüne,3,SPD,3,CDU,4,CDU,4,CDU,4,CDU,4
1114,9,Idstein,CDU,4,37,CDU,4,SPD,2,Grüne,3,CDU,4,CDU,5,CDU,4,ULI,1,SPD,3,SPD,3,SPD,3,SPD,3
1115,10,Idstein,SPD,3,37,CDU,5,Grüne,2,CDU,3,Grüne,2,ULI,1,SPD,3,FDP,1,CDU,5,CDU,5,CDU,5,CDU,5
1116,11,Idstein,CDU,5,37,SPD,4,CDU,7,AfD,1,SPD,5,CDU,6,Grüne,4,CDU,5,FDP,1,FDP,1,FDP,1,FDP,1
1117,12,Idstein,ULI,1,37,ULI,1,CDU,8,ULI,1,CDU,5,Grüne,4,ULI,1,Grüne,2,ULI,1,ULI,1,ULI,1,ULI,1
1118,13,Idstein,SPD,4,37,Grüne,3,ULI,1,SPD,4,ULI,1,SPD,1,CDU,5,SPD,4,SPD,4,SPD,4,SPD,4,SPD,4
1119,14,Idstein,Grüne,3,37,CDU,6,CDU,9,Grüne,4,FDP,1,CDU,7,FDP,1,CDU,6,Grüne,3,Grüne,3,Grüne,3,Grüne,3
1120,15,Idstein,CDU,6,37,SPD,5,SPD,3,SPD,5,SPD,6,FW,2,Grüne,5,FW,2,CDU,6,CDU,6,CDU,6,CDU,6
1121,16,Idstein,FW,2,37,FW,2,CDU,10,FW,2,CDU,6,AfD,1,CDU,6,SPD,5,FW,2,FW,2,FW,2,FW,2
1122,17,Idstein,FDP,2,37,CDU,7,Grüne,3,CDU,4,Grüne,3,Grüne,5,SPD,4,CDU,7,CDU,7,CDU,7,CDU,7,CDU,7
1123,18,Idstein,SPD,5,37,Grüne,4,CDU,11,FDP,2,FW,2,CDU,8,FW,2,Grüne,3,SPD,5,SPD,5,SPD,5,SPD,5
1124,19,Idstein,CDU,7,37,SPD,6,FW,2,Grüne,5,SPD,7,CDU,9,CDU,7,CDU,8,AfD,1,Grüne,4,Grüne,4,Grüne,4
1125,20,Idstein,Grüne,4,37,CDU,8,CDU,12,SPD,6,CDU,7,Grüne,6,Grüne,6,SPD,6,Grüne,4,CDU,8,CDU,8,CDU,8
1126,21,Idstein,CDU,8,37,AfD,1,SPD,4,CDU,5,SPD,8,FDP,2,SPD,5,CDU,9,CDU,8,SPD,6,SPD,6,SPD,6
1127,22,Idstein,SPD,6,37,CDU,9,CDU,13,SPD,7,CDU,8,CDU,10,CDU,8,FW,3,SPD,6,CDU,9,CDU,9,CDU,9
1128,23,Idstein,CDU,9,37,SPD,7,Grüne,4,Grüne,6,Grüne,4,Grüne,7,Grüne,7,SPD,7,CDU,9,Grüne,5,Grüne,5,Grüne,5
1129,24,Idstein,Grüne,5,37,Grüne,5,CDU,14,FW,3,SPD,9,FW,3,CDU,9,ULI,2,Grüne,5,SPD,7,SPD,7,SPD,7
1130,25,Idstein,SPD,7,37,CDU,10,CDU,15,CDU,6,CDU,9,CDU,11,SPD,6,FDP,2,SPD,7,CDU,10,CDU,10,CDU,10
1131,26,Idstein,FW,3,37,FW,3,SPD,5,AfD,2,FW,3,ULI,2,Grüne,8,CDU,10,CDU,10,FW,3,FW,3,FW,3
1132,27,Idstein,CDU,10,37,SPD,8,CDU,16,ULI,2,SPD,10,CDU,12,FW,3,Grüne,4,FW,3,FDP,2,FDP,2,FDP,2
1133,28,Idstein,ULI,2,37,ULI,2,FDP,1,SPD,8,CDU,10,Grüne,8,ULI,2,AfD,1,FDP,2,ULI,2,ULI,2,ULI,2
1134,29,Idstein,FDP,3,37,CDU,11,FW,3,Grüne,7,ULI,2,SPD,2,CDU,10,SPD,8,ULI,2,CDU,11,AfD,1,AfD,1
1135,30,Idstein,AfD,1,37,Grüne,6,Grüne,5,FDP,3,FDP,2,CDU,13,AfD,1,CDU,11,CDU,11,SPD,8,CDU,11,CDU,11
1136,31,Idstein,CDU,11,37,SPD,9,CDU,17,CDU,7,Grüne,5,Grüne,9,FDP,2,CDU,12,SPD,8,Grüne,6,SPD,8,SPD,8
1137,32,Idstein,SPD,8,37,CDU,12,ULI,2,SPD,9,SPD,11,CDU,14,Grüne,9,SPD,9,Grüne,6,CDU,12,Grüne,6,Grüne,6
1138,33,Idstein,Grüne,6,37,CDU,13,AfD,1,Grüne,8,CDU,11,FDP,3,SPD,7,FW,4,CDU,12,SPD,9,CDU,12,CDU,12
1139,34,Idstein,CDU,12,37,SPD,10,CDU,18,SPD,10,AfD,1,FW,4,CDU,11,Grüne,5,SPD,9,CDU,13,SPD,9,SPD,9
1140,35,Idstein,SPD,9,37,Grüne,7,SPD,6,FW,4,SPD,12,AfD,2,Grüne,10,CDU,13,CDU,13,FW,4,CDU,13,CDU,13
1141,36,Idstein,CDU,13,37,FW,4,CDU,19,CDU,8,CDU,12,CDU,15,CDU,12,SPD,10,FW,4,Grüne,7,FW,4,FW,4
1142,0,Kassel,FDP,1,71,SPD,1,SPD,1,SPD,1,SPD,1,Grüne,1,Grüne,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
1143,1,Kassel,SPD,1,71,Grüne,1,CDU,1,Grüne,1,SPD,2,CDU,1,SPD,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1
1144,2,Kassel,Grüne,1,71,SPD,2,Grüne,1,SPD,2,Grüne,1,Grüne,2,Grüne,2,SPD,2,SPD,2,SPD,2,Die Linke,1,SPD,2
1145,3,Kassel,FDP,2,71,CDU,1,SPD,2,FDP,1,SPD,3,FDP,1,Grüne,3,FDP,1,AfD,1,CDU,1,SPD,2,CDU,1
1146,4,Kassel,SPD,2,71,Grüne,2,CDU,2,Grüne,2,FDP,1,Die Linke,1,SPD,2,CDU,1,FDP,1,FDP,1,CDU,1,FDP,1
1147,5,Kassel,Grüne,2,71,SPD,3,Grüne,2,SPD,3,SPD,4,Grüne,3,FDP,1,SPD,3,CDU,1,Grüne,2,FDP,1,SPD,3
